Race,VR,Track,Change,Place,Players,RelPos
0,8125,none,0.0,0,0,0.0
1,8195,mg,70.0,0,0,0.0
2,8240,rbc,45.0,0,0,0.0
3,8321,rds,81.0,0,0,0.0
4,8477,rsl,156.0,0,0,0.0
5,8515,ddr,38.0,0,0,0.0
6,8411,rsl,-104.0,0,0,0.0
7,8409,rr,-2.0,0,0,0.0
8,8459,rds,50.0,0,0,0.0
9,8400,tf,-59.0,0,0,0.0
10,8413,rr,13.0,0,0,0.0
11,8433,kc,20.0,0,0,0.0
12,8378,rgv2,-55.0,0,0,0.0
13,8295,ct,-83.0,0,0,0.0
14,8480,dksc,185.0,1,7,0.14285714285714285
15,8475,mmm,-5.0,3,9,0.3333333333333333
16,8468,mg,-7.0,3,9,0.3333333333333333
17,8450,rmc3,-18.0,4,12,0.3333333333333333
